,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
26,2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Away,D,1,1,Hertha BSC,0.5,1.5,59.0,41689.0,Robin Zentner,3-4-3,Benjamin Cortus,Match Report,,6.0,3.0,16.3,0.0,0,0,2023,Mainz 05
27,2023-03-19,19:30,Bundesliga,Matchweek 25,Sun,Home,D,1,1,Freiburg,1.0,1.7,47.0,26800.0,Robin Zentner,3-4-3,Bastian Dankert,Match Report,,10.0,5.0,16.4,1.0,0,0,2023,Mainz 05
28,2023-04-01,15:30,Bundesliga,Matchweek 26,Sat,Away,W,3,0,RB Leipzig,2.9,0.8,31.0,45597.0,Silvan Widmer,3-4-3,Christian Dingert,Match Report,,19.0,7.0,16.2,2.0,0,0,2023,Mainz 05
29,2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Home,D,2,2,Werder Bremen,1.9,0.9,51.0,33305.0,Silvan Widmer,3-4-3,Benjamin Brand,Match Report,,16.0,10.0,16.7,0.0,0,0,2023,Mainz 05
30,2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Away,D,1,1,Köln,0.8,1.0,47.0,50000.0,Silvan Widmer,3-4-3,Benjamin Cortus,Match Report,,5.0,1.0,23.1,0.0,0,0,2023,Mainz 05
31,2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Home,W,3,1,Bayern Munich,1.6,1.9,26.0,33305.0,Silvan Widmer,3-4-3,Felix Zwayer,Match Report,,12.0,4.0,17.3,0.0,0,0,2023,Mainz 05
32,2023-04-30,17:30,Bundesliga,Matchweek 30,Sun,Away,L,0,3,Wolfsburg,1.7,1.9,49.0,23817.0,Silvan Widmer,3-4-3,Daniel Siebert,Match Report,,10.0,2.0,13.4,0.0,0,0,2023,Mainz 05
33,2023-05-05,20:30,Bundesliga,Matchweek 31,Fri,Home,L,2,3,Schalke 04,1.3,2.9,57.0,33305.0,Robin Zentner,3-4-3,Matthias Jöllenbeck,Match Report,,10.0,4.0,13.2,1.0,0,0,2023,Mainz 05
34,2023-05-13,15:30,Bundesliga,Matchweek 32,Sat,Away,L,0,3,Eint Frankfurt,1.0,2.2,45.0,50000.0,Robin Zentner,3-4-3,Felix Brych,Match Report,,9.0,3.0,18.2,1.0,0,0,2023,Mainz 05
35,2023-05-21,15:30,Bundesliga,Matchweek 33,Sun,Home,L,1,4,Stuttgart,1.3,1.8,47.0,33305.0,Karim Onisiwo,3-4-3,Sven Jablonski,Match Report,,10.0,6.0,17.9,2.0,0,0,2023,Mainz 05
36,2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,D,2,2,Dortmund,1.8,4.0,27.0,81365.0,Karim Onisiwo,3-4-3,Marco Fritz,Match Report,,10.0,4.0,21.6,1.0,0,0,2023,Mainz 05
1,2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3,1,Hoffenheim,1.9,0.1,61.0,49659.0,Yann Sommer,4-2-3-1,Daniel Siebert,Match Report,,18.0,7.0,16.2,1.0,0,0,2023,Monchengladbach
2,2022-08-13,18:30,Bundesliga,Matchweek 2,Sat,Away,D,2,2,Schalke 04,1.3,1.4,67.0,62271.0,Yann Sommer,4-2-3-1,Sven Jablonski,Match Report,,14.0,8.0,16.7,0.0,0,0,2023,Monchengladbach
3,2022-08-19,20:30,Bundesliga,Matchweek 3,Fri,Home,W,1,0,Hertha BSC,2.7,1.0,64.0,48411.0,Yann Sommer,4-2-3-1,Matthias Jöllenbeck,Match Report,,9.0,4.0,21.0,0.0,1,2,2023,Monchengladbach
4,2022-08-27,18:30,Bundesliga,Matchweek 4,Sat,Away,D,1,1,Bayern Munich,0.5,2.8,31.0,75000.0,Yann Sommer,4-2-3-1,Daniel Schlager,Match Report,,5.0,3.0,17.9,0.0,0,0,2023,Monchengladbach
5,2022-09-04,17:30,Bundesliga,Matchweek 5,Sun,Home,L,0,1,Mainz 05,1.2,0.6,53.0,51210.0,Yann Sommer,4-2-3-1,Deniz Aytekin,Match Report,,14.0,2.0,16.8,0.0,0,0,2023,Monchengladbach
6,2022-09-11,17:30,Bundesliga,Matchweek 6,Sun,Away,D,0,0,Freiburg,1.2,1.1,57.0,34700.0,Lars Stindl,4-2-3-1,Tobias Stieler,Match Report,,14.0,5.0,15.0,0.0,0,0,2023,Monchengladbach
7,2022-09-17,18:30,Bundesliga,Matchweek 7,Sat,Home,W,3,0,RB Leipzig,2.7,0.9,45.0,50186.0,Lars Stindl,4-2-3-1,Patrick Ittrich,Match Report,,21.0,10.0,18.0,0.0,0,0,2023,Monchengladbach
8,2022-10-01,18:30,Bundesliga,Matchweek 8,Sat,Away,L,1,5,Werder Bremen,2.3,1.9,53.0,42100.0,Lars Stindl,4-2-3-1,Matthias Jöllenbeck,Match Report,,13.0,8.0,12.8,0.0,0,0,2023,Monchengladbach
9,2022-10-09,15:30,Bundesliga,Matchweek 9,Sun,Home,W,5,2,Köln,3.0,1.3,65.0,54042.0,Lars Stindl,4-2-3-1,Sven Jablonski,Match Report,,13.0,5.0,18.1,1.0,1,1,2023,Monchengladbach
10,2022-10-15,15:30,Bundesliga,Matchweek 10,Sat,Away,D,2,2,Wolfsburg,0.8,1.8,46.0,26701.0,Lars Stindl,4-2-3-1,Benjamin Cortus,Match Report,,9.0,5.0,15.4,1.0,0,0,2023,Monchengladbach
12,2022-10-22,18:30,Bundesliga,Matchweek 11,Sat,Home,L,1,3,Eint Frankfurt,1.0,1.9,60.0,53019.0,Lars Stindl,4-2-3-1,Daniel Siebert,Match Report,,7.0,3.0,14.0,0.0,0,0,2023,Monchengladbach
13,2022-10-30,15:30,Bundesliga,Matchweek 12,Sun,Away,L,1,2,Union Berlin,1.0,0.9,45.0,22012.0,Lars Stindl,4-2-3-1,Harm Osmers,Match Report,,7.0,3.0,16.6,1.0,0,0,2023,Monchengladbach
14,2022-11-04,20:30,Bundesliga,Matchweek 13,Fri,Home,W,3,1,Stuttgart,0.9,1.1,55.0,53178.0,Christoph Kramer,4-2-3-1,Matthias Jöllenbeck,Match Report,,13.0,6.0,22.7,0.0,0,0,2023,Monchengladbach
15,2022-11-08,20:30,Bundesliga,Matchweek 14,Tue,Away,L,1,2,Bochum,0.8,2.0,54.0,25900.0,Christoph Kramer,4-2-3-1,Daniel Schlager,Match Report,,8.0,2.0,15.3,0.0,0,0,2023,Monchengladbach
16,2022-11-11,20:30,Bundesliga,Matchweek 15,Fri,Home,W,4,2,Dortmund,2.1,3.0,39.0,54042.0,Lars Stindl,4-2-3-1,Sven Jablonski,Match Report,,11.0,6.0,17.0,0.0,0,0,2023,Monchengladbach
17,2023-01-22,17:30,Bundesliga,Matchweek 16,Sun,Home,L,2,3,Leverkusen,1.0,2.0,61.0,53336.0,Christoph Kramer,4-2-3-1,Harm Osmers,Match Report,,15.0,8.0,17.8,0.0,0,0,2023,Monchengladbach
18,2023-01-25,20:30,Bundesliga,Matchweek 17,Wed,Away,L,0,1,Augsburg,0.3,0.9,56.0,23158.0,Christoph Kramer,4-2-3-1,Daniel Schlager,Match Report,,7.0,2.0,18.4,0.0,0,0,2023,Monchengladbach
19,2023-01-28,15:30,Bundesliga,Matchweek 18,Sat,Away,W,4,1,Hoffenheim,1.7,1.8,49.0,24119.0,Lars Stindl,4-2-3-1,Benjamin Brand,Match Report,,9.0,5.0,15.9,0.0,0,0,2023,Monchengladbach
20,2023-02-04,18:30,Bundesliga,Matchweek 19,Sat,Home,D,0,0,Schalke 04,1.1,1.0,54.0,54042.0,Lars Stindl,4-2-3-1,Deniz Aytekin,Match Report,,18.0,4.0,17.7,0.0,0,0,2023,Monchengladbach
21,2023-02-12,15:30,Bundesliga,Matchweek 20,Sun,Away,L,1,4,Hertha BSC,0.5,3.0,69.0,40973.0,Lars Stindl,4-2-3-1,Christian Dingert,Match Report,,8.0,3.0,14.9,0.0,0,0,2023,Monchengladbach
22,2023-02-18,15:30,Bundesliga,Matchweek 21,Sat,Home,W,3,2,Bayern Munich,2.4,1.1,53.0,54042.0,Lars Stindl,4-2-3-1,Tobias Welz,Match Report,,17.0,7.0,16.8,1.0,0,0,2023,Monchengladbach
23,2023-02-24,20:30,Bundesliga,Matchweek 22,Fri,Away,L,0,4,Mainz 05,1.2,1.8,64.0,32500.0,Lars Stindl,4-2-3-1,Robert Hartmann,Match Report,,9.0,2.0,21.1,1.0,0,0,2023,Monchengladbach
24,2023-03-04,15:30,Bundesliga,Matchweek 23,Sat,Home,D,0,0,Freiburg,1.5,0.3,52.0,52000.0,Lars Stindl,4-2-3-1,Benjamin Brand,Match Report,,9.0,3.0,14.5,0.0,0,0,2023,Monchengladbach
25,2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Away,L,0,3,RB Leipzig,1.6,2.5,34.0,46687.0,Christoph Kramer,4-2-3-1,Matthias Jöllenbeck,Match Report,,6.0,2.0,16.3,0.0,0,1,2023,Monchengladbach
26,2023-03-17,20:30,Bundesliga,Matchweek 25,Fri,Home,D,2,2,Werder Bremen,3.4,1.3,58.0,54042.0,Lars Stindl,4-2-3-1,Tobias Reichel,Match Report,,21.0,8.0,18.2,1.0,0,0,2023,Monchengladbach
27,2023-04-02,15:30,Bundesliga,Matchweek 26,Sun,Away,D,0,0,Köln,1.0,1.0,49.0,50000.0,Lars Stindl,4-2-3-1,Felix Zwayer,Match Report,,8.0,2.0,18.5,1.0,0,0,2023,Monchengladbach
28,2023-04-09,15:30,Bundesliga,Matchweek 27,Sun,Home,W,2,0,Wolfsburg,1.6,1.5,44.0,51127.0,Lars Stindl,4-2-3-1,Timo Gerach,Match Report,,13.0,6.0,18.5,1.0,0,0,2023,Monchengladbach
29,2023-04-15,18:30,Bundesliga,Matchweek 28,Sat,Away,D,1,1,Eint Frankfurt,1.2,2.2,41.0,50000.0,Jonas Hofmann,4-2-3-1,Sven Jablonski,Match Report,,4.0,2.0,15.3,0.0,0,0,2023,Monchengladbach
30,2023-04-23,19:30,Bundesliga,Matchweek 29,Sun,Home,L,0,1,Union Berlin,0.7,1.3,62.0,52107.0,Lars Stindl,4-2-3-1,Martin Petersen,Match Report,,8.0,4.0,18.0,0.0,0,0,2023,Monchengladbach
31,2023-04-29,15:30,Bundesliga,Matchweek 30,Sat,Away,L,1,2,Stuttgart,1.2,2.3,58.0,47700.0,Lars Stindl,4-2-3-1,Tobias Welz,Match Report,,8.0,3.0,21.1,0.0,1,1,2023,Monchengladbach
32,2023-05-06,15:30,Bundesliga,Matchweek 31,Sat,Home,W,2,0,Bochum,1.9,1.1,55.0,53797.0,Jonas Hofmann,4-2-3-1,Robert Schröder,Match Report,,25.0,9.0,16.9,0.0,0,0,2023,Monchengladbach
33,2023-05-13,18:30,Bundesliga,Matchweek 32,Sat,Away,L,2,5,Dortmund,2.0,4.5,46.0,81365.0,Jonas Hofmann,4-2-3-1,Daniel Schlager,Match Report,,12.0,6.0,21.0,1.0,1,1,2023,Monchengladbach
34,2023-05-21,19:30,Bundesliga,Matchweek 33,Sun,Away,D,2,2,Leverkusen,1.7,1.6,53.0,30210.0,Christoph Kramer,3-4-3,Daniel Siebert,Match Report,,11.0,6.0,14.3,0.0,0,0,2023,Monchengladbach
35,2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Home,W,2,0,Augsburg,3.0,0.5,74.0,52186.0,Lars Stindl,3-4-3,Matthias Jöllenbeck,Match Report,,19.0,7.0,17.3,2.0,0,0,2023,Monchengladbach
1,2022-08-07,17:30,Bundesliga,Matchweek 1,Sun,Home,W,3,1,Schalke 04,4.1,0.2,75.0,50000.0,Jonas Hector,4-1-3-2,Robert Schröder,Match Report,,32.0,10.0,15.5,0.0,0,0,2023,Koln
2,2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Away,D,2,2,RB Leipzig,1.5,1.0,48.0,49579.0,Jonas Hector,4-2-3-1,Benjamin Brand,Match Report,,13.0,4.0,18.8,0.0,0,0,2023,Koln
4,2022-08-21,15:30,Bundesliga,Matchweek 3,Sun,Away,D,1,1,Eint Frankfurt,0.3,0.9,46.0,50800.0,Jonas Hector,4-1-2-1-2◆,Martin Petersen,Match Report,,5.0,2.0,16.2,0.0,0,0,2023,Koln
6,2022-08-28,15:30,Bundesliga,Matchweek 4,Sun,Home,D,0,0,Stuttgart,0.6,2.1,63.0,50000.0,Jonas Hector,4-1-3-2,Harm Osmers,Match Report,,7.0,1.0,19.4,0.0,0,0,2023,Koln
7,2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Away,W,4,2,Wolfsburg,2.7,1.0,49.0,25654.0,Jonas Hector,4-2-3-1,Matthias Jöllenbeck,Match Report,,17.0,4.0,16.5,0.0,1,1,2023,Koln
9,2022-09-11,15:30,Bundesliga,Matchweek 6,Sun,Home,L,0,1,Union Berlin,0.6,1.5,53.0,49500.0,Jonas Hector,4-2-3-1,Benjamin Cortus,Match Report,,8.0,3.0,14.8,0.0,0,0,2023,Koln
11,2022-09-18,17:30,Bundesliga,Matchweek 7,Sun,Away,D,1,1,Bochum,2.1,0.2,65.0,25800.0,Jonas Hector,4-2-3-1,Bastian Dankert,Match Report,,18.0,3.0,15.3,0.0,0,0,2023,Koln
12,2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3,2,Dortmund,1.9,2.5,42.0,50000.0,Jonas Hector,4-1-3-2,Harm Osmers,Match Report,,21.0,10.0,16.1,0.0,0,0,2023,Koln
14,2022-10-09,15:30,Bundesliga,Matchweek 9,Sun,Away,L,2,5,Gladbach,1.3,3.0,35.0,54042.0,Jonas Hector,4-1-3-2,Sven Jablonski,Match Report,,4.0,2.0,19.2,0.0,1,1,2023,Koln
16,2022-10-16,15:30,Bundesliga,Matchweek 10,Sun,Home,W,3,2,Augsburg,1.5,0.4,64.0,49000.0,Jonas Hector,4-1-3-2,Felix Zwayer,Match Report,,15.0,5.0,15.1,0.0,0,0,2023,Koln
17,2022-10-21,20:30,Bundesliga,Matchweek 11,Fri,Away,L,0,5,Mainz 05,0.7,1.9,45.0,31610.0,Jonas Hector,4-3-1-2,Matthias Jöllenbeck,Match Report,,6.0,2.0,19.4,1.0,0,0,2023,Koln
19,2022-10-30,19:30,Bundesliga,Matchweek 12,Sun,Home,D,1,1,Hoffenheim,1.2,0.9,36.0,49000.0,Florian Kainz,4-4-2,Frank Willenborg,Match Report,,11.0,3.0,17.4,0.0,0,0,2023,Koln
21,2022-11-06,17:30,Bundesliga,Matchweek 13,Sun,Away,L,0,2,Freiburg,0.5,1.4,45.0,33800.0,Florian Kainz,4-2-3-1,Florian Badstübner,Match Report,,6.0,2.0,14.2,0.0,0,0,2023,Koln
22,2022-11-09,18:30,Bundesliga,Matchweek 14,Wed,Home,L,1,2,Leverkusen,1.4,1.4,58.0,50000.0,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,,19.0,7.0,17.8,0.0,0,0,2023,Koln
23,2022-11-12,15:30,Bundesliga,Matchweek 15,Sat,Away,L,0,2,Hertha BSC,1.8,1.8,52.0,60827.0,Jonas Hector,4-2-3-1,Christian Dingert,Match Report,,10.0,3.0,16.6,2.0,0,0,2023,Koln
24,2023-01-21,18:30,Bundesliga,Matchweek 16,Sat,Home,W,7,1,Werder Bremen,3.0,0.3,50.0,50000.0,Jonas Hector,4-2-2-2,Robert Schröder,Match Report,,15.0,7.0,14.5,0.0,0,0,2023,Koln
25,2023-01-24,20:30,Bundesliga,Matchweek 17,Tue,Away,D,1,1,Bayern Munich,0.8,1.4,23.0,75000.0,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,,3.0,1.0,7.5,0.0,0,0,2023,Koln
26,2023-01-29,15:30,Bundesliga,Matchweek 18,Sun,Away,D,0,0,Schalke 04,0.3,1.2,46.0,61571.0,Jonas Hector,4-1-3-2,Matthias Jöllenbeck,Match Report,,6.0,0.0,15.7,0.0,0,0,2023,Koln
27,2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Home,D,0,0,RB Leipzig,0.8,1.3,44.0,49200.0,Jonas Hector,4-2-2-2,Martin Petersen,Match Report,,9.0,0.0,21.0,0.0,0,0,2023,Koln
28,2023-02-12,17:30,Bundesliga,Matchweek 20,Sun,Home,W,3,0,Eint Frankfurt,1.2,0.3,43.0,50000.0,Jonas Hector,4-2-3-1,Daniel Siebert,Match Report,,8.0,4.0,13.0,0.0,0,0,2023,Koln
29,2023-02-18,15:30,Bundesliga,Matchweek 21,Sat,Away,L,0,3,Stuttgart,0.5,1.5,55.0,46850.0,Jonas Hector,4-2-3-1,Benjamin Cortus,Match Report,,12.0,4.0,19.3,1.0,0,0,2023,Koln
30,2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,L,0,2,Wolfsburg,1.2,1.0,57.0,49300.0,Jonas Hector,4-4-2,Frank Willenborg,Match Report,,13.0,5.0,14.9,0.0,0,0,2023,Koln
31,2023-03-04,15:30,Bundesliga,Matchweek 23,Sat,Away,D,0,0,Union Berlin,0.9,0.5,48.0,22012.0,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,,10.0,4.0,15.3,0.0,0,0,2023,Koln
32,2023-03-10,20:30,Bundesliga,Matchweek 24,Fri,Home,L,0,2,Bochum,0.7,1.4,63.0,50000.0,Jonas Hector,4-2-3-1,Tobias Welz,Match Report,,11.0,5.0,15.1,1.0,0,0,2023,Koln
33,2023-03-18,18:30,Bundesliga,Matchweek 25,Sat,Away,L,1,6,Dortmund,1.6,3.3,37.0,81365.0,Jonas Hector,4-2-2-2,Daniel Siebert,Match Report,,11.0,5.0,14.6,0.0,0,0,2023,Koln
34,2023-04-02,15:30,Bundesliga,Matchweek 26,Sun,Home,D,0,0,Gladbach,1.0,1.0,51.0,50000.0,Jonas Hector,4-1-4-1,Felix Zwayer,Match Report,,12.0,5.0,17.4,1.0,0,0,2023,Koln
35,2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Away,W,3,1,Augsburg,1.7,0.8,47.0,30660.0,Jonas Hector,4-1-4-1,Robert Schröder,Match Report,,11.0,6.0,15.5,0.0,0,0,2023,Koln
36,2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Home,D,1,1,Mainz 05,1.0,0.8,53.0,50000.0,Jonas Hector,4-2-3-1,Benjamin Cortus,Match Report,,11.0,4.0,17.4,0.0,0,0,2023,Koln
37,2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Away,W,3,1,Hoffenheim,1.7,0.9,46.0,30150.0,Jonas Hector,4-2-3-1,Robin Braun,Match Report,,12.0,5.0,19.0,0.0,1,1,2023,Koln
38,2023-04-29,15:30,Bundesliga,Matchweek 30,Sat,Home,L,0,1,Freiburg,1.6,1.6,57.0,50000.0,Jonas Hector,4-2-3-1,Tobias Reichel,Match Report,,19.0,4.0,16.9,0.0,0,0,2023,Koln
39,2023-05-05,20:30,Bundesliga,Matchweek 31,Fri,Away,W,2,1,Leverkusen,0.8,0.9,36.0,30210.0,Jonas Hector,4-2-3-1,Felix Zwayer,Match Report,,7.0,5.0,18.7,0.0,0,0,2023,Koln
40,2023-05-12,20:30,Bundesliga,Matchweek 32,Fri,Home,W,5,2,Hertha BSC,4.3,1.1,63.0,50000.0,Jonas Hector,4-2-3-1,Sven Jablonski,Match Report,,31.0,16.0,13.1,0.0,0,0,2023,Koln
41,2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Away,D,1,1,Werder Bremen,1.4,1.8,56.0,41846.0,Jonas Hector,4-2-3-1,Robert Hartmann,Match Report,,13.0,4.0,14.1,0.0,0,0,2023,Koln
42,2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Home,L,1,2,Bayern Munich,1.3,1.3,47.0,50000.0,Jonas Hector,4-2-3-1,Sven Jablonski,Match Report,,7.0,1.0,18.7,0.0,1,1,2023,Koln
1,2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Away,L,1,3,Gladbach,0.1,1.9,39.0,49659.0,Oliver Baumann,3-5-2,Daniel Siebert,Match Report,,2.0,1.0,23.5,0.0,0,0,2023,Hoffenheim
2,2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Home,W,3,2,Bochum,2.6,1.5,59.0,17005.0,Oliver Baumann,3-5-2,Patrick Ittrich,Match Report,,22.0,11.0,17.8,1.0,0,1,2023,Hoffenheim
3,2022-08-20,15:30,Bundesliga,Matchweek 3,Sat,Away,W,3,0,Leverkusen,1.5,1.2,44.0,26300.0,Oliver Baumann,3-5-2,Tobias Reichel,Match Report,,10.0,5.0,14.2,0.0,0,0,2023,Hoffenheim
4,2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Home,W,1,0,Augsburg,1.9,0.6,50.0,17206.0,Oliver Baumann,3-5-2,Tobias Welz,Match Report,,21.0,5.0,19.8,0.0,0,0,2023,Hoffenheim
5,2022-09-02,20:30,Bundesliga,Matchweek 5,Fri,Away,L,0,1,Dortmund,0.5,2.0,51.0,79300.0,Oliver Baumann,3-5-2,Daniel Siebert,Match Report,,7.0,2.0,15.8,1.0,0,0,2023,Hoffenheim
6,2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Home,W,4,1,Mainz 05,4.2,0.7,64.0,20114.0,Oliver Baumann,3-1-4-2,Daniel Schlager,Match Report,,20.0,9.0,15.4,1.0,0,1,2023,Hoffenheim
7,2022-09-18,19:30,Bundesliga,Matchweek 7,Sun,Home,D,0,0,Freiburg,0.7,1.0,50.0,24233.0,Oliver Baumann,3-5-2,Deniz Aytekin,Match Report,,10.0,3.0,17.9,0.0,0,0,2023,Hoffenheim
8,2022-10-02,15:30,Bundesliga,Matchweek 8,Sun,Away,D,1,1,Hertha BSC,1.4,0.9,57.0,41653.0,Oliver Baumann,3-5-2,Christian Dingert,Match Report,,16.0,4.0,16.5,0.0,0,0,2023,Hoffenheim
9,2022-10-07,20:30,Bundesliga,Matchweek 9,Fri,Home,L,1,2,Werder Bremen,1.7,1.3,46.0,25410.0,Oliver Baumann,3-5-2,Benjamin Cortus,Match Report,,17.0,6.0,16.5,0.0,0,0,2023,Hoffenheim
10,2022-10-14,20:30,Bundesliga,Matchweek 10,Fri,Away,W,3,0,Schalke 04,3.2,0.7,49.0,59811.0,Oliver Baumann,3-5-2,Florian Badstübner,Match Report,,15.0,5.0,17.8,0.0,2,2,2023,Hoffenheim
12,2022-10-22,15:30,Bundesliga,Matchweek 11,Sat,Home,L,0,2,Bayern Munich,0.8,2.4,42.0,30150.0,Oliver Baumann,3-5-2,Sven Jablonski,Match Report,,7.0,3.0,15.1,0.0,0,0,2023,Hoffenheim
13,2022-10-30,19:30,Bundesliga,Matchweek 12,Sun,Away,D,1,1,Köln,0.9,1.2,64.0,49000.0,Oliver Baumann,3-5-2,Frank Willenborg,Match Report,,5.0,1.0,13.4,0.0,0,0,2023,Hoffenheim
14,2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Home,L,1,3,RB Leipzig,0.9,1.7,37.0,23127.0,Oliver Baumann,3-5-2,Martin Petersen,Match Report,,11.0,3.0,19.8,2.0,0,0,2023,Hoffenheim
15,2022-11-09,20:30,Bundesliga,Matchweek 14,Wed,Away,L,2,4,Eint Frankfurt,1.8,2.8,49.0,49000.0,Oliver Baumann,3-5-2,Felix Zwayer,Match Report,,12.0,3.0,13.5,0.0,0,0,2023,Hoffenheim
16,2022-11-12,15:30,Bundesliga,Matchweek 15,Sat,Home,L,1,2,Wolfsburg,1.4,0.7,60.0,18014.0,Oliver Baumann,3-4-1-2,Daniel Schlager,Match Report,,22.0,8.0,17.5,3.0,0,0,2023,Hoffenheim
17,2023-01-21,15:30,Bundesliga,Matchweek 16,Sat,Away,L,1,3,Union Berlin,1.0,2.9,48.0,21747.0,Oliver Baumann,3-4-3,Robert Hartmann,Match Report,,12.0,4.0,17.4,1.0,0,0,2023,Hoffenheim
18,2023-01-24,20:30,Bundesliga,Matchweek 17,Tue,Home,D,2,2,Stuttgart,2.0,0.8,49.0,23159.0,Oliver Baumann,3-4-3,Florian Badstübner,Match Report,,15.0,6.0,13.6,0.0,0,0,2023,Hoffenheim
19,2023-01-28,15:30,Bundesliga,Matchweek 18,Sat,Home,L,1,4,Gladbach,1.8,1.7,51.0,24119.0,Oliver Baumann,3-4-1-2,Benjamin Brand,Match Report,,15.0,4.0,16.2,0.0,0,0,2023,Hoffenheim
21,2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Away,L,2,5,Bochum,0.9,2.7,54.0,23700.0,Oliver Baumann,3-4-1-2,Bastian Dankert,Match Report,,9.0,4.0,15.0,0.0,0,0,2023,Hoffenheim
22,2023-02-11,15:30,Bundesliga,Matchweek 20,Sat,Home,L,1,3,Leverkusen,0.7,1.4,50.0,20619.0,Oliver Baumann,3-4-3,Tobias Stieler,Match Report,,11.0,6.0,21.0,1.0,0,0,2023,Hoffenheim
23,2023-02-17,20:30,Bundesliga,Matchweek 21,Fri,Away,L,0,1,Augsburg,0.6,1.6,54.0,25872.0,Oliver Baumann,3-4-1-2,Patrick Ittrich,Match Report,,8.0,2.0,20.1,1.0,0,0,2023,Hoffenheim
24,2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,L,0,1,Dortmund,1.3,2.3,44.0,30150.0,Oliver Baumann,3-4-1-2,Martin Petersen,Match Report,,13.0,4.0,18.1,0.0,0,0,2023,Hoffenheim
25,2023-03-04,15:30,Bundesliga,Matchweek 23,Sat,Away,L,0,1,Mainz 05,0.8,1.1,53.0,28100.0,Oliver Baumann,3-4-3,Sascha Stegemann,Match Report,,15.0,3.0,18.6,1.0,0,0,2023,Hoffenheim
26,2023-03-12,15:30,Bundesliga,Matchweek 24,Sun,Away,L,1,2,Freiburg,1.0,0.6,41.0,33500.0,Oliver Baumann,3-5-2,Harm Osmers,Match Report,,12.0,1.0,17.0,0.0,0,0,2023,Hoffenheim
27,2023-03-18,15:30,Bundesliga,Matchweek 25,Sat,Home,W,3,1,Hertha BSC,2.6,1.0,48.0,25027.0,Oliver Baumann,3-4-3,Frank Willenborg,Match Report,,14.0,5.0,17.8,1.0,2,2,2023,Hoffenheim
28,2023-04-02,17:30,Bundesliga,Matchweek 26,Sun,Away,W,2,1,Werder Bremen,1.1,0.9,43.0,42000.0,Oliver Baumann,3-5-2,Sascha Stegemann,Match Report,,8.0,2.0,14.7,0.0,0,0,2023,Hoffenheim
29,2023-04-09,19:30,Bundesliga,Matchweek 27,Sun,Home,W,2,0,Schalke 04,2.2,0.7,46.0,30150.0,Oliver Baumann,3-5-2,Matthias Jöllenbeck,Match Report,,14.0,3.0,18.9,0.0,1,1,2023,Hoffenheim
30,2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Away,D,1,1,Bayern Munich,0.4,1.6,34.0,75000.0,Oliver Baumann,3-5-2,Bastian Dankert,Match Report,,4.0,1.0,16.4,1.0,0,0,2023,Hoffenheim
31,2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Home,L,1,3,Köln,0.9,1.7,54.0,30150.0,Oliver Baumann,3-5-2,Robin Braun,Match Report,,12.0,4.0,18.9,1.0,0,0,2023,Hoffenheim
32,2023-04-29,15:30,Bundesliga,Matchweek 30,Sat,Away,L,0,1,RB Leipzig,0.3,1.4,41.0,45294.0,Oliver Baumann,3-5-2,Tobias Stieler,Match Report,,5.0,1.0,15.3,0.0,0,0,2023,Hoffenheim
33,2023-05-06,15:30,Bundesliga,Matchweek 31,Sat,Home,W,3,1,Eint Frankfurt,2.2,2.2,32.0,30000.0,Oliver Baumann,3-5-2,Harm Osmers,Match Report,,7.0,3.0,18.6,1.0,1,1,2023,Hoffenheim
